config None
max_frames 200
eval_frames 400
batch_size 200
max_seg_per_spk 100
nDataLoaderThread 5
augment False
test_interval 10
max_epoch 500
trainfunc angleproto
optimizer adam
scheduler steplr
lr 0.001
lr_decay 0.95
weight_decay 0
hard_prob 0.5
hard_rank 10
margin 1
scale 15
nPerSpeaker 2
nClasses 4953
initial_model 
save_path exps/scratch_vgg_model
train_list lists/train_list.txt
test_list lists/veri_test.txt
train_path data/voxceleb2
test_path data/voxceleb1
musan_path data/musan_split
rir_path data/RIRS_NOISES/simulated_rirs
n_mels 64
log_input False
model VGGVox
encoder_type TAP
nOut 512
eval False
Model has 3769282 parametersIT 1, LR 0.001000, TEER/TAcc 0.64, TLOSS 5.298443
IT 334, LR 0.000184, TEER/TAcc 72.33, TLOSS 1.191078
IT 335, LR 0.000184, TEER/TAcc 71.69, TLOSS 1.195562
IT 336, LR 0.000184, TEER/TAcc 70.78, TLOSS 1.233416
IT 337, LR 0.000184, TEER/TAcc 70.58, TLOSS 1.218339
IT 338, LR 0.000184, TEER/TAcc 70.47, TLOSS 1.211546
IT 339, LR 0.000184, TEER/TAcc 70.81, TLOSS 1.205149
IT 340, LR 0.000184, TEER/TAcc 72.06, TLOSS 1.192248, VEER 16.9618, MINEER 16.5589
IT 341, LR 0.000175, TEER/TAcc 71.72, TLOSS 1.186121
IT 342, LR 0.000175, TEER/TAcc 72.78, TLOSS 1.187164
IT 343, LR 0.000175, TEER/TAcc 72.03, TLOSS 1.179595
IT 344, LR 0.000175, TEER/TAcc 72.39, TLOSS 1.170630
IT 345, LR 0.000175, TEER/TAcc 71.67, TLOSS 1.186096
IT 346, LR 0.000175, TEER/TAcc 72.00, TLOSS 1.166503
IT 347, LR 0.000175, TEER/TAcc 72.39, TLOSS 1.190820
IT 348, LR 0.000175, TEER/TAcc 72.19, TLOSS 1.174368
IT 349, LR 0.000175, TEER/TAcc 72.22, TLOSS 1.166139
IT 350, LR 0.000175, TEER/TAcc 74.03, TLOSS 1.137818, VEER 16.6225, MINEER 16.5589
IT 351, LR 0.000166, TEER/TAcc 74.33, TLOSS 1.127458
IT 352, LR 0.000166, TEER/TAcc 72.42, TLOSS 1.153462
IT 353, LR 0.000166, TEER/TAcc 73.39, TLOSS 1.159636
IT 354, LR 0.000166, TEER/TAcc 73.50, TLOSS 1.140347
IT 355, LR 0.000166, TEER/TAcc 73.03, TLOSS 1.137795
IT 356, LR 0.000166, TEER/TAcc 73.50, TLOSS 1.147558
IT 357, LR 0.000166, TEER/TAcc 73.19, TLOSS 1.130335
IT 358, LR 0.000166, TEER/TAcc 73.11, TLOSS 1.131420
IT 359, LR 0.000166, TEER/TAcc 74.00, TLOSS 1.131399
IT 360, LR 0.000166, TEER/TAcc 75.14, TLOSS 1.103915, VEER 17.0838, MINEER 16.5589
IT 361, LR 0.000158, TEER/TAcc 73.39, TLOSS 1.134695
IT 362, LR 0.000158, TEER/TAcc 74.19, TLOSS 1.107013
IT 363, LR 0.000158, TEER/TAcc 73.25, TLOSS 1.131891
IT 364, LR 0.000158, TEER/TAcc 74.78, TLOSS 1.108378
IT 365, LR 0.000158, TEER/TAcc 74.86, TLOSS 1.099944
IT 366, LR 0.000158, TEER/TAcc 74.11, TLOSS 1.118712
IT 367, LR 0.000158, TEER/TAcc 73.92, TLOSS 1.112122
IT 368, LR 0.000158, TEER/TAcc 74.17, TLOSS 1.109395
IT 369, LR 0.000158, TEER/TAcc 73.97, TLOSS 1.098716
IT 370, LR 0.000158, TEER/TAcc 74.14, TLOSS 1.104730, VEER 17.0838, MINEER 16.5589
IT 371, LR 0.000150, TEER/TAcc 75.08, TLOSS 1.087549
IT 372, LR 0.000150, TEER/TAcc 73.89, TLOSS 1.102925
IT 373, LR 0.000150, TEER/TAcc 75.28, TLOSS 1.068567
IT 374, LR 0.000150, TEER/TAcc 73.78, TLOSS 1.100060
IT 375, LR 0.000150, TEER/TAcc 75.25, TLOSS 1.064381
IT 376, LR 0.000150, TEER/TAcc 76.86, TLOSS 1.050919
IT 377, LR 0.000150, TEER/TAcc 76.17, TLOSS 1.033072
IT 378, LR 0.000150, TEER/TAcc 75.17, TLOSS 1.080099
IT 379, LR 0.000150, TEER/TAcc 75.86, TLOSS 1.044661
IT 380, LR 0.000150, TEER/TAcc 73.83, TLOSS 1.086354, VEER 16.9353, MINEER 16.5589
IT 381, LR 0.000142, TEER/TAcc 75.19, TLOSS 1.070591
IT 382, LR 0.000142, TEER/TAcc 75.61, TLOSS 1.072518
IT 383, LR 0.000142, TEER/TAcc 75.44, TLOSS 1.065738
IT 384, LR 0.000142, TEER/TAcc 76.14, TLOSS 1.044102
IT 385, LR 0.000142, TEER/TAcc 75.86, TLOSS 1.074242
IT 386, LR 0.000142, TEER/TAcc 75.08, TLOSS 1.061003
IT 387, LR 0.000142, TEER/TAcc 75.06, TLOSS 1.084691
IT 388, LR 0.000142, TEER/TAcc 74.50, TLOSS 1.072673
IT 389, LR 0.000142, TEER/TAcc 76.28, TLOSS 1.044348
IT 390, LR 0.000142, TEER/TAcc 75.31, TLOSS 1.053158, VEER 17.2906, MINEER 16.5589
IT 391, LR 0.000135, TEER/TAcc 77.22, TLOSS 1.021515
IT 392, LR 0.000135, TEER/TAcc 76.83, TLOSS 1.025557
IT 393, LR 0.000135, TEER/TAcc 76.50, TLOSS 1.039654
IT 394, LR 0.000135, TEER/TAcc 76.31, TLOSS 1.031733
IT 395, LR 0.000135, TEER/TAcc 76.44, TLOSS 1.024212
IT 396, LR 0.000135, TEER/TAcc 76.92, TLOSS 1.017394
IT 397, LR 0.000135, TEER/TAcc 76.36, TLOSS 1.026969
IT 398, LR 0.000135, TEER/TAcc 76.36, TLOSS 1.015181
IT 399, LR 0.000135, TEER/TAcc 76.56, TLOSS 1.022039
IT 400, LR 0.000135, TEER/TAcc 76.89, TLOSS 1.020839, VEER 16.9777, MINEER 16.5589
IT 401, LR 0.000129, TEER/TAcc 77.44, TLOSS 1.028953
IT 402, LR 0.000129, TEER/TAcc 76.56, TLOSS 1.042750
IT 403, LR 0.000129, TEER/TAcc 76.00, TLOSS 1.030423
IT 404, LR 0.000129, TEER/TAcc 76.22, TLOSS 1.028315
IT 405, LR 0.000129, TEER/TAcc 76.75, TLOSS 1.023770
IT 406, LR 0.000129, TEER/TAcc 77.08, TLOSS 1.022306
IT 407, LR 0.000129, TEER/TAcc 77.78, TLOSS 0.987231
IT 408, LR 0.000129, TEER/TAcc 77.78, TLOSS 0.981840
IT 409, LR 0.000129, TEER/TAcc 77.69, TLOSS 0.984413
IT 410, LR 0.000129, TEER/TAcc 77.22, TLOSS 0.990852, VEER 16.7975, MINEER 16.5589
IT 411, LR 0.000122, TEER/TAcc 77.36, TLOSS 0.996231
IT 412, LR 0.000122, TEER/TAcc 77.97, TLOSS 0.983816
IT 413, LR 0.000122, TEER/TAcc 77.36, TLOSS 1.001907
IT 414, LR 0.000122, TEER/TAcc 78.39, TLOSS 0.982375
IT 415, LR 0.000122, TEER/TAcc 79.36, TLOSS 0.969084
IT 416, LR 0.000122, TEER/TAcc 77.36, TLOSS 0.981641
IT 417, LR 0.000122, TEER/TAcc 78.50, TLOSS 0.976209
IT 418, LR 0.000122, TEER/TAcc 77.28, TLOSS 0.993287
IT 419, LR 0.000122, TEER/TAcc 77.89, TLOSS 0.967555
IT 420, LR 0.000122, TEER/TAcc 78.06, TLOSS 0.968765, VEER 16.6702, MINEER 16.5589
IT 421, LR 0.000116, TEER/TAcc 76.92, TLOSS 0.999692
IT 422, LR 0.000116, TEER/TAcc 78.75, TLOSS 0.970950
IT 423, LR 0.000116, TEER/TAcc 77.64, TLOSS 0.965375
IT 424, LR 0.000116, TEER/TAcc 77.72, TLOSS 0.970801
IT 425, LR 0.000116, TEER/TAcc 78.64, TLOSS 0.961233
IT 426, LR 0.000116, TEER/TAcc 77.67, TLOSS 0.988399
IT 427, LR 0.000116, TEER/TAcc 78.69, TLOSS 0.951504
IT 428, LR 0.000116, TEER/TAcc 78.69, TLOSS 0.953452
IT 429, LR 0.000116, TEER/TAcc 77.58, TLOSS 0.981258
IT 430, LR 0.000116, TEER/TAcc 78.64, TLOSS 0.950554, VEER 16.5854, MINEER 16.5589
IT 431, LR 0.000110, TEER/TAcc 77.83, TLOSS 0.965676
IT 432, LR 0.000110, TEER/TAcc 78.08, TLOSS 0.952620
IT 433, LR 0.000110, TEER/TAcc 79.42, TLOSS 0.949832
IT 434, LR 0.000110, TEER/TAcc 79.00, TLOSS 0.937869
IT 435, LR 0.000110, TEER/TAcc 77.86, TLOSS 0.975030
IT 436, LR 0.000110, TEER/TAcc 78.56, TLOSS 0.956261
IT 437, LR 0.000110, TEER/TAcc 78.78, TLOSS 0.957698
IT 438, LR 0.000110, TEER/TAcc 78.94, TLOSS 0.965044
IT 439, LR 0.000110, TEER/TAcc 78.28, TLOSS 0.955908
IT 440, LR 0.000110, TEER/TAcc 78.50, TLOSS 0.948524, VEER 16.9671, MINEER 16.5589
IT 441, LR 0.000105, TEER/TAcc 79.64, TLOSS 0.928215
IT 442, LR 0.000105, TEER/TAcc 79.00, TLOSS 0.938215
IT 443, LR 0.000105, TEER/TAcc 79.69, TLOSS 0.915782
IT 444, LR 0.000105, TEER/TAcc 78.72, TLOSS 0.939593
IT 445, LR 0.000105, TEER/TAcc 79.14, TLOSS 0.921699
IT 446, LR 0.000105, TEER/TAcc 79.81, TLOSS 0.924805
IT 447, LR 0.000105, TEER/TAcc 79.22, TLOSS 0.915700
IT 448, LR 0.000105, TEER/TAcc 79.22, TLOSS 0.940178
IT 449, LR 0.000105, TEER/TAcc 79.69, TLOSS 0.938542
IT 450, LR 0.000105, TEER/TAcc 80.92, TLOSS 0.911209, VEER 16.5854, MINEER 16.5589
IT 451, LR 0.000099, TEER/TAcc 78.86, TLOSS 0.922222
IT 452, LR 0.000099, TEER/TAcc 79.50, TLOSS 0.925913
IT 453, LR 0.000099, TEER/TAcc 79.94, TLOSS 0.906382
IT 454, LR 0.000099, TEER/TAcc 79.53, TLOSS 0.932762
IT 455, LR 0.000099, TEER/TAcc 78.94, TLOSS 0.930331
IT 456, LR 0.000099, TEER/TAcc 80.86, TLOSS 0.904471
IT 457, LR 0.000099, TEER/TAcc 81.06, TLOSS 0.882695
IT 458, LR 0.000099, TEER/TAcc 79.97, TLOSS 0.905281
IT 459, LR 0.000099, TEER/TAcc 80.17, TLOSS 0.911405
IT 460, LR 0.000099, TEER/TAcc 79.22, TLOSS 0.912420, VEER 16.9141, MINEER 16.5589
IT 461, LR 0.000094, TEER/TAcc 79.42, TLOSS 0.917607
IT 462, LR 0.000094, TEER/TAcc 80.72, TLOSS 0.891542
IT 463, LR 0.000094, TEER/TAcc 81.00, TLOSS 0.886319
IT 464, LR 0.000094, TEER/TAcc 81.31, TLOSS 0.900632
IT 465, LR 0.000094, TEER/TAcc 82.03, TLOSS 0.872324
IT 466, LR 0.000094, TEER/TAcc 79.78, TLOSS 0.899625
IT 467, LR 0.000094, TEER/TAcc 80.69, TLOSS 0.882362
IT 468, LR 0.000094, TEER/TAcc 81.03, TLOSS 0.883665
IT 469, LR 0.000094, TEER/TAcc 80.47, TLOSS 0.894221
IT 470, LR 0.000094, TEER/TAcc 81.72, TLOSS 0.876694, VEER 16.7550, MINEER 16.5589
IT 471, LR 0.000090, TEER/TAcc 80.36, TLOSS 0.901397
IT 472, LR 0.000090, TEER/TAcc 79.61, TLOSS 0.900816
IT 473, LR 0.000090, TEER/TAcc 80.97, TLOSS 0.904449
IT 474, LR 0.000090, TEER/TAcc 80.00, TLOSS 0.895472
IT 475, LR 0.000090, TEER/TAcc 80.92, TLOSS 0.881845
IT 476, LR 0.000090, TEER/TAcc 81.72, TLOSS 0.870712
IT 477, LR 0.000090, TEER/TAcc 80.92, TLOSS 0.881382
IT 478, LR 0.000090, TEER/TAcc 81.36, TLOSS 0.885476
IT 479, LR 0.000090, TEER/TAcc 80.50, TLOSS 0.876132
IT 480, LR 0.000090, TEER/TAcc 82.19, TLOSS 0.853076, VEER 16.8187, MINEER 16.5589
IT 481, LR 0.000085, TEER/TAcc 82.00, TLOSS 0.865812
IT 482, LR 0.000085, TEER/TAcc 81.14, TLOSS 0.857993
IT 483, LR 0.000085, TEER/TAcc 80.81, TLOSS 0.876096
IT 484, LR 0.000085, TEER/TAcc 81.42, TLOSS 0.864956
IT 485, LR 0.000085, TEER/TAcc 80.75, TLOSS 0.865742
IT 486, LR 0.000085, TEER/TAcc 81.25, TLOSS 0.862451
IT 487, LR 0.000085, TEER/TAcc 80.58, TLOSS 0.873591
IT 488, LR 0.000085, TEER/TAcc 80.03, TLOSS 0.886167
IT 489, LR 0.000085, TEER/TAcc 81.14, TLOSS 0.869412
IT 490, LR 0.000085, TEER/TAcc 81.25, TLOSS 0.860820, VEER 16.8876, MINEER 16.5589
IT 491, LR 0.000081, TEER/TAcc 81.81, TLOSS 0.867907
IT 492, LR 0.000081, TEER/TAcc 80.97, TLOSS 0.885234
IT 493, LR 0.000081, TEER/TAcc 81.00, TLOSS 0.871680
IT 494, LR 0.000081, TEER/TAcc 80.03, TLOSS 0.889572
IT 495, LR 0.000081, TEER/TAcc 81.31, TLOSS 0.865282
IT 496, LR 0.000081, TEER/TAcc 81.86, TLOSS 0.835684
IT 497, LR 0.000081, TEER/TAcc 80.78, TLOSS 0.847918
IT 498, LR 0.000081, TEER/TAcc 81.42, TLOSS 0.845474
IT 499, LR 0.000081, TEER/TAcc 82.22, TLOSS 0.836110
IT 500, LR 0.000081, TEER/TAcc 81.36, TLOSS 0.865286, VEER 16.9406, MINEER 16.5589
