config None
max_frames 200
eval_frames 400
batch_size 200
max_seg_per_spk 100
nDataLoaderThread 5
augment False
test_interval 10
max_epoch 500
trainfunc angleproto
optimizer adam
scheduler steplr
lr 0.001
lr_decay 0.95
weight_decay 0
hard_prob 0.5
hard_rank 10
margin 1
scale 15
nPerSpeaker 2
nClasses 4953
initial_model 
save_path exps/scratch_vgg_model
train_list lists/train_list.txt
test_list lists/veri_test.txt
train_path data/voxceleb2
test_path data/voxceleb1
musan_path data/musan_split
rir_path data/RIRS_NOISES/simulated_rirs
n_mels 64
log_input False
model VGGVox
encoder_type TAP
nOut 512
eval False
Model has 3769282 parametersIT 1, LR 0.001000, TEER/TAcc 0.64, TLOSS 5.298443
IT 75, LR 0.000698, TEER/TAcc 14.11, TLOSS 3.765254
IT 76, LR 0.000698, TEER/TAcc 12.78, TLOSS 3.791553
IT 77, LR 0.000698, TEER/TAcc 13.50, TLOSS 3.757200
IT 78, LR 0.000698, TEER/TAcc 13.11, TLOSS 3.766491
IT 79, LR 0.000698, TEER/TAcc 13.28, TLOSS 3.756200
IT 80, LR 0.000698, TEER/TAcc 14.19, TLOSS 3.709112, VEER 18.8865, MINEER 18.8865
IT 81, LR 0.000663, TEER/TAcc 14.67, TLOSS 3.686411
IT 82, LR 0.000663, TEER/TAcc 14.47, TLOSS 3.685686
IT 83, LR 0.000663, TEER/TAcc 14.72, TLOSS 3.679200
IT 84, LR 0.000663, TEER/TAcc 15.14, TLOSS 3.684063
IT 85, LR 0.000663, TEER/TAcc 15.75, TLOSS 3.635836
IT 86, LR 0.000663, TEER/TAcc 15.83, TLOSS 3.623485
IT 87, LR 0.000663, TEER/TAcc 15.31, TLOSS 3.624458
IT 88, LR 0.000663, TEER/TAcc 15.89, TLOSS 3.566804
IT 89, LR 0.000663, TEER/TAcc 16.31, TLOSS 3.560776
IT 90, LR 0.000663, TEER/TAcc 16.36, TLOSS 3.569794, VEER 18.0382, MINEER 18.0382
IT 91, LR 0.000630, TEER/TAcc 16.03, TLOSS 3.559047
IT 92, LR 0.000630, TEER/TAcc 16.67, TLOSS 3.554994
IT 93, LR 0.000630, TEER/TAcc 17.58, TLOSS 3.510120
IT 94, LR 0.000630, TEER/TAcc 17.36, TLOSS 3.508809
IT 95, LR 0.000630, TEER/TAcc 17.83, TLOSS 3.511003
IT 96, LR 0.000630, TEER/TAcc 18.42, TLOSS 3.494918
IT 97, LR 0.000630, TEER/TAcc 19.17, TLOSS 3.455191
IT 98, LR 0.000630, TEER/TAcc 18.06, TLOSS 3.481222
IT 99, LR 0.000630, TEER/TAcc 18.25, TLOSS 3.433433
IT 100, LR 0.000630, TEER/TAcc 18.50, TLOSS 3.452893, VEER 18.5366, MINEER 18.0382
IT 101, LR 0.000599, TEER/TAcc 20.22, TLOSS 3.378083
IT 102, LR 0.000599, TEER/TAcc 19.11, TLOSS 3.435279
IT 103, LR 0.000599, TEER/TAcc 19.36, TLOSS 3.361434
IT 104, LR 0.000599, TEER/TAcc 19.31, TLOSS 3.370243
IT 105, LR 0.000599, TEER/TAcc 22.06, TLOSS 3.331449
IT 106, LR 0.000599, TEER/TAcc 20.69, TLOSS 3.355155
IT 107, LR 0.000599, TEER/TAcc 20.42, TLOSS 3.329806
IT 108, LR 0.000599, TEER/TAcc 21.44, TLOSS 3.307700
IT 109, LR 0.000599, TEER/TAcc 22.17, TLOSS 3.311399
IT 110, LR 0.000599, TEER/TAcc 20.58, TLOSS 3.293103, VEER 18.0541, MINEER 18.0382
IT 111, LR 0.000569, TEER/TAcc 22.31, TLOSS 3.267643
IT 112, LR 0.000569, TEER/TAcc 22.50, TLOSS 3.234200
IT 113, LR 0.000569, TEER/TAcc 23.89, TLOSS 3.214477
IT 114, LR 0.000569, TEER/TAcc 22.89, TLOSS 3.210853
IT 115, LR 0.000569, TEER/TAcc 23.72, TLOSS 3.184949
IT 116, LR 0.000569, TEER/TAcc 23.08, TLOSS 3.185766
IT 117, LR 0.000569, TEER/TAcc 23.44, TLOSS 3.169843
IT 118, LR 0.000569, TEER/TAcc 24.39, TLOSS 3.138638
IT 119, LR 0.000569, TEER/TAcc 25.00, TLOSS 3.132272
IT 120, LR 0.000569, TEER/TAcc 24.64, TLOSS 3.092647, VEER 18.1442, MINEER 18.0382
IT 121, LR 0.000540, TEER/TAcc 25.22, TLOSS 3.128513
IT 122, LR 0.000540, TEER/TAcc 25.33, TLOSS 3.086301
IT 123, LR 0.000540, TEER/TAcc 26.47, TLOSS 3.051423
IT 124, LR 0.000540, TEER/TAcc 25.03, TLOSS 3.043638
IT 125, LR 0.000540, TEER/TAcc 26.03, TLOSS 3.055922
IT 126, LR 0.000540, TEER/TAcc 24.42, TLOSS 3.065045
IT 127, LR 0.000540, TEER/TAcc 26.08, TLOSS 3.039382
IT 128, LR 0.000540, TEER/TAcc 26.64, TLOSS 2.995713
IT 129, LR 0.000540, TEER/TAcc 27.31, TLOSS 2.968757
IT 130, LR 0.000540, TEER/TAcc 26.92, TLOSS 2.992466, VEER 18.8176, MINEER 18.0382
IT 131, LR 0.000513, TEER/TAcc 28.42, TLOSS 2.951701
IT 132, LR 0.000513, TEER/TAcc 28.53, TLOSS 2.917119
IT 133, LR 0.000513, TEER/TAcc 27.75, TLOSS 2.939841
IT 134, LR 0.000513, TEER/TAcc 28.31, TLOSS 2.909626
IT 135, LR 0.000513, TEER/TAcc 29.97, TLOSS 2.872749
IT 136, LR 0.000513, TEER/TAcc 29.08, TLOSS 2.923645
IT 137, LR 0.000513, TEER/TAcc 30.92, TLOSS 2.822295
IT 138, LR 0.000513, TEER/TAcc 30.25, TLOSS 2.857472
IT 139, LR 0.000513, TEER/TAcc 30.83, TLOSS 2.833522
IT 140, LR 0.000513, TEER/TAcc 31.06, TLOSS 2.804687, VEER 18.1389, MINEER 18.0382
IT 141, LR 0.000488, TEER/TAcc 30.81, TLOSS 2.788622
IT 142, LR 0.000488, TEER/TAcc 30.61, TLOSS 2.766820
IT 143, LR 0.000488, TEER/TAcc 30.89, TLOSS 2.806710
IT 144, LR 0.000488, TEER/TAcc 31.39, TLOSS 2.783862
IT 145, LR 0.000488, TEER/TAcc 32.36, TLOSS 2.732966
IT 146, LR 0.000488, TEER/TAcc 31.56, TLOSS 2.753265
IT 147, LR 0.000488, TEER/TAcc 32.92, TLOSS 2.696945
IT 148, LR 0.000488, TEER/TAcc 33.67, TLOSS 2.683004
IT 149, LR 0.000488, TEER/TAcc 33.44, TLOSS 2.676053
IT 150, LR 0.000488, TEER/TAcc 32.61, TLOSS 2.677989, VEER 17.3913, MINEER 17.3913
IT 151, LR 0.000463, TEER/TAcc 32.83, TLOSS 2.658099
IT 152, LR 0.000463, TEER/TAcc 33.72, TLOSS 2.645076
IT 153, LR 0.000463, TEER/TAcc 34.42, TLOSS 2.624257
IT 154, LR 0.000463, TEER/TAcc 34.69, TLOSS 2.642432
IT 155, LR 0.000463, TEER/TAcc 35.36, TLOSS 2.603774
IT 156, LR 0.000463, TEER/TAcc 36.75, TLOSS 2.576735
IT 157, LR 0.000463, TEER/TAcc 36.67, TLOSS 2.545488
IT 158, LR 0.000463, TEER/TAcc 35.56, TLOSS 2.593026
IT 159, LR 0.000463, TEER/TAcc 35.53, TLOSS 2.568480
IT 160, LR 0.000463, TEER/TAcc 36.22, TLOSS 2.556294, VEER 17.2057, MINEER 17.2057
IT 161, LR 0.000440, TEER/TAcc 36.39, TLOSS 2.519171
IT 162, LR 0.000440, TEER/TAcc 39.08, TLOSS 2.471434
IT 163, LR 0.000440, TEER/TAcc 37.58, TLOSS 2.477065
IT 164, LR 0.000440, TEER/TAcc 37.94, TLOSS 2.487418
IT 165, LR 0.000440, TEER/TAcc 38.50, TLOSS 2.462541
IT 166, LR 0.000440, TEER/TAcc 39.11, TLOSS 2.440360
IT 167, LR 0.000440, TEER/TAcc 37.22, TLOSS 2.451493
IT 168, LR 0.000440, TEER/TAcc 38.86, TLOSS 2.432177
IT 169, LR 0.000440, TEER/TAcc 39.31, TLOSS 2.402825
IT 170, LR 0.000440, TEER/TAcc 39.69, TLOSS 2.413615, VEER 17.9109, MINEER 17.2057
IT 171, LR 0.000418, TEER/TAcc 39.47, TLOSS 2.416677
IT 172, LR 0.000418, TEER/TAcc 41.58, TLOSS 2.368511
IT 173, LR 0.000418, TEER/TAcc 40.97, TLOSS 2.341276
IT 174, LR 0.000418, TEER/TAcc 39.86, TLOSS 2.367526
IT 175, LR 0.000418, TEER/TAcc 41.25, TLOSS 2.334554
IT 176, LR 0.000418, TEER/TAcc 41.47, TLOSS 2.317527
IT 177, LR 0.000418, TEER/TAcc 42.17, TLOSS 2.323151
IT 178, LR 0.000418, TEER/TAcc 42.97, TLOSS 2.290637
IT 179, LR 0.000418, TEER/TAcc 42.42, TLOSS 2.312324
IT 180, LR 0.000418, TEER/TAcc 42.42, TLOSS 2.302073, VEER 17.6617, MINEER 17.2057
IT 181, LR 0.000397, TEER/TAcc 42.47, TLOSS 2.279145
IT 182, LR 0.000397, TEER/TAcc 42.00, TLOSS 2.243580
IT 183, LR 0.000397, TEER/TAcc 43.14, TLOSS 2.246302
IT 184, LR 0.000397, TEER/TAcc 43.06, TLOSS 2.238638
IT 185, LR 0.000397, TEER/TAcc 43.67, TLOSS 2.228825
IT 186, LR 0.000397, TEER/TAcc 43.81, TLOSS 2.205927
IT 187, LR 0.000397, TEER/TAcc 44.36, TLOSS 2.206006
IT 188, LR 0.000397, TEER/TAcc 45.67, TLOSS 2.181304
IT 189, LR 0.000397, TEER/TAcc 44.03, TLOSS 2.192583
IT 190, LR 0.000397, TEER/TAcc 45.56, TLOSS 2.182877, VEER 17.0414, MINEER 17.0414
IT 191, LR 0.000377, TEER/TAcc 46.33, TLOSS 2.159892
IT 192, LR 0.000377, TEER/TAcc 45.17, TLOSS 2.169180
IT 193, LR 0.000377, TEER/TAcc 46.08, TLOSS 2.164619
IT 194, LR 0.000377, TEER/TAcc 45.39, TLOSS 2.130466
IT 195, LR 0.000377, TEER/TAcc 48.17, TLOSS 2.075916
IT 196, LR 0.000377, TEER/TAcc 47.33, TLOSS 2.104748
IT 197, LR 0.000377, TEER/TAcc 48.11, TLOSS 2.078587
IT 198, LR 0.000377, TEER/TAcc 48.14, TLOSS 2.059976
IT 199, LR 0.000377, TEER/TAcc 47.72, TLOSS 2.061705
IT 200, LR 0.000377, TEER/TAcc 47.47, TLOSS 2.070842, VEER 17.1103, MINEER 17.0414
IT 201, LR 0.000358, TEER/TAcc 48.14, TLOSS 2.033114
IT 202, LR 0.000358, TEER/TAcc 49.44, TLOSS 2.037684
IT 203, LR 0.000358, TEER/TAcc 49.39, TLOSS 2.029749
IT 204, LR 0.000358, TEER/TAcc 49.56, TLOSS 1.995520
IT 205, LR 0.000358, TEER/TAcc 50.69, TLOSS 1.991925
IT 206, LR 0.000358, TEER/TAcc 49.75, TLOSS 1.994285
IT 207, LR 0.000358, TEER/TAcc 49.33, TLOSS 1.999559
IT 208, LR 0.000358, TEER/TAcc 48.58, TLOSS 2.015531
IT 209, LR 0.000358, TEER/TAcc 49.89, TLOSS 2.018984
IT 210, LR 0.000358, TEER/TAcc 50.11, TLOSS 1.969585, VEER 17.7466, MINEER 17.0414
IT 211, LR 0.000341, TEER/TAcc 51.44, TLOSS 1.964627
IT 212, LR 0.000341, TEER/TAcc 51.19, TLOSS 1.943932
IT 213, LR 0.000341, TEER/TAcc 51.86, TLOSS 1.945392
IT 214, LR 0.000341, TEER/TAcc 51.86, TLOSS 1.917279
IT 215, LR 0.000341, TEER/TAcc 50.75, TLOSS 1.934252
IT 216, LR 0.000341, TEER/TAcc 51.78, TLOSS 1.918164
IT 217, LR 0.000341, TEER/TAcc 53.11, TLOSS 1.881639
IT 218, LR 0.000341, TEER/TAcc 52.83, TLOSS 1.915943
IT 219, LR 0.000341, TEER/TAcc 51.86, TLOSS 1.888107
IT 220, LR 0.000341, TEER/TAcc 51.47, TLOSS 1.923733, VEER 17.3913, MINEER 17.0414
IT 221, LR 0.000324, TEER/TAcc 53.50, TLOSS 1.844189
IT 222, LR 0.000324, TEER/TAcc 52.83, TLOSS 1.842400
IT 223, LR 0.000324, TEER/TAcc 53.11, TLOSS 1.848821
IT 224, LR 0.000324, TEER/TAcc 53.72, TLOSS 1.832945
IT 225, LR 0.000324, TEER/TAcc 53.44, TLOSS 1.836137
IT 226, LR 0.000324, TEER/TAcc 54.42, TLOSS 1.813244
IT 227, LR 0.000324, TEER/TAcc 52.92, TLOSS 1.840351
IT 228, LR 0.000324, TEER/TAcc 53.25, TLOSS 1.828065
IT 229, LR 0.000324, TEER/TAcc 54.56, TLOSS 1.811120
IT 230, LR 0.000324, TEER/TAcc 53.53, TLOSS 1.818284, VEER 17.2641, MINEER 17.0414
IT 231, LR 0.000307, TEER/TAcc 55.14, TLOSS 1.774521
IT 232, LR 0.000307, TEER/TAcc 54.42, TLOSS 1.769812
IT 233, LR 0.000307, TEER/TAcc 56.11, TLOSS 1.768274
IT 234, LR 0.000307, TEER/TAcc 55.44, TLOSS 1.755110
IT 235, LR 0.000307, TEER/TAcc 57.39, TLOSS 1.742009
IT 236, LR 0.000307, TEER/TAcc 56.31, TLOSS 1.740119
IT 237, LR 0.000307, TEER/TAcc 57.11, TLOSS 1.692443
IT 238, LR 0.000307, TEER/TAcc 57.47, TLOSS 1.727322
IT 239, LR 0.000307, TEER/TAcc 56.42, TLOSS 1.727625
IT 240, LR 0.000307, TEER/TAcc 56.83, TLOSS 1.710044, VEER 17.1845, MINEER 17.0414
IT 241, LR 0.000292, TEER/TAcc 55.97, TLOSS 1.724693
IT 242, LR 0.000292, TEER/TAcc 57.69, TLOSS 1.715070
IT 243, LR 0.000292, TEER/TAcc 58.81, TLOSS 1.688477
IT 244, LR 0.000292, TEER/TAcc 58.42, TLOSS 1.673702
IT 245, LR 0.000292, TEER/TAcc 58.11, TLOSS 1.662391
IT 246, LR 0.000292, TEER/TAcc 58.89, TLOSS 1.678489
IT 247, LR 0.000292, TEER/TAcc 57.94, TLOSS 1.672194
IT 248, LR 0.000292, TEER/TAcc 58.39, TLOSS 1.692559
IT 249, LR 0.000292, TEER/TAcc 58.50, TLOSS 1.657164
IT 250, LR 0.000292, TEER/TAcc 58.86, TLOSS 1.620678, VEER 17.2853, MINEER 17.0414
IT 251, LR 0.000277, TEER/TAcc 60.08, TLOSS 1.620151
IT 252, LR 0.000277, TEER/TAcc 59.39, TLOSS 1.624403
IT 253, LR 0.000277, TEER/TAcc 59.08, TLOSS 1.647591
IT 254, LR 0.000277, TEER/TAcc 60.58, TLOSS 1.584639
IT 255, LR 0.000277, TEER/TAcc 59.47, TLOSS 1.616695
IT 256, LR 0.000277, TEER/TAcc 60.47, TLOSS 1.589674
IT 257, LR 0.000277, TEER/TAcc 60.44, TLOSS 1.624054
IT 258, LR 0.000277, TEER/TAcc 60.69, TLOSS 1.609982
IT 259, LR 0.000277, TEER/TAcc 61.00, TLOSS 1.602705
IT 260, LR 0.000277, TEER/TAcc 60.03, TLOSS 1.605002, VEER 16.8611, MINEER 16.8611
IT 261, LR 0.000264, TEER/TAcc 61.03, TLOSS 1.566912
IT 262, LR 0.000264, TEER/TAcc 61.58, TLOSS 1.530465
IT 263, LR 0.000264, TEER/TAcc 61.67, TLOSS 1.531821
IT 264, LR 0.000264, TEER/TAcc 63.03, TLOSS 1.517734
IT 265, LR 0.000264, TEER/TAcc 61.33, TLOSS 1.564513
IT 266, LR 0.000264, TEER/TAcc 62.72, TLOSS 1.520579
IT 267, LR 0.000264, TEER/TAcc 62.42, TLOSS 1.536522
IT 268, LR 0.000264, TEER/TAcc 61.39, TLOSS 1.535272
IT 269, LR 0.000264, TEER/TAcc 62.53, TLOSS 1.521830
IT 270, LR 0.000264, TEER/TAcc 62.08, TLOSS 1.499845, VEER 16.8770, MINEER 16.8611
IT 271, LR 0.000250, TEER/TAcc 62.44, TLOSS 1.515164
IT 272, LR 0.000250, TEER/TAcc 63.39, TLOSS 1.514845
IT 273, LR 0.000250, TEER/TAcc 63.17, TLOSS 1.507248
IT 274, LR 0.000250, TEER/TAcc 62.19, TLOSS 1.519852
IT 275, LR 0.000250, TEER/TAcc 63.11, TLOSS 1.473048
IT 276, LR 0.000250, TEER/TAcc 64.44, TLOSS 1.462452
IT 277, LR 0.000250, TEER/TAcc 63.97, TLOSS 1.469352
IT 278, LR 0.000250, TEER/TAcc 64.75, TLOSS 1.468945
IT 279, LR 0.000250, TEER/TAcc 64.39, TLOSS 1.458202
IT 280, LR 0.000250, TEER/TAcc 63.03, TLOSS 1.441975, VEER 16.9512, MINEER 16.8611
IT 281, LR 0.000238, TEER/TAcc 63.61, TLOSS 1.479194
IT 282, LR 0.000238, TEER/TAcc 63.75, TLOSS 1.460989
IT 283, LR 0.000238, TEER/TAcc 64.75, TLOSS 1.432941
IT 284, LR 0.000238, TEER/TAcc 66.81, TLOSS 1.394757
IT 285, LR 0.000238, TEER/TAcc 64.56, TLOSS 1.447647
IT 286, LR 0.000238, TEER/TAcc 64.19, TLOSS 1.447305
IT 287, LR 0.000238, TEER/TAcc 66.17, TLOSS 1.419271
IT 288, LR 0.000238, TEER/TAcc 65.47, TLOSS 1.420317
IT 289, LR 0.000238, TEER/TAcc 65.69, TLOSS 1.417005
IT 290, LR 0.000238, TEER/TAcc 66.17, TLOSS 1.423396, VEER 16.9088, MINEER 16.8611
IT 291, LR 0.000226, TEER/TAcc 65.75, TLOSS 1.403370
IT 292, LR 0.000226, TEER/TAcc 65.78, TLOSS 1.390485
IT 293, LR 0.000226, TEER/TAcc 66.94, TLOSS 1.391020
IT 294, LR 0.000226, TEER/TAcc 66.14, TLOSS 1.378949
